Wavelength (nm),Sum,Li I (4.0e-02),Li II (9.6e-01),Li III (5.9e-34)
658.96,3.115e-39,,3.115e-39,
659.01,1.330e-39,,1.330e-39,
659.06,5.617e-40,,5.617e-40,
659.11,2.344e-40,,2.344e-40,
659.16,9.669e-41,,9.669e-41,
659.21,3.942e-41,,3.942e-41,
659.26,1.589e-41,,1.589e-41,
659.31,1.922e-42,,1.922e-42,
660.51,9.844e-42,,9.844e-42,
660.56,2.405e-41,,2.405e-41,
660.61,5.812e-41,,5.812e-41,
660.66,1.388e-40,,1.388e-40,
660.71,3.279e-40,,3.279e-40,
660.76,7.658e-40,,7.658e-40,
660.81,1.768e-39,,1.768e-39,
660.86,4.037e-39,,4.037e-39,
660.91,9.114e-39,,9.114e-39,
660.96,2.034e-38,,2.034e-38,
661.01,4.489e-38,,4.489e-38,
661.06,9.795e-38,,9.795e-38,
661.11,2.113e-37,,2.113e-37,
661.16,4.508e-37,,4.508e-37,
661.21,9.507e-37,,9.507e-37,
661.26,1.983e-36,,1.983e-36,
661.31,4.088e-36,,4.088e-36,
661.36,8.334e-36,,8.334e-36,
661.41,1.680e-35,,1.680e-35,
661.46,3.348e-35,,3.348e-35,
661.51,6.597e-35,,6.597e-35,
661.56,1.285e-34,,1.285e-34,
661.61,2.476e-34,,2.476e-34,
661.66,4.717e-34,,4.717e-34,
661.71,8.883e-34,,8.883e-34,
661.76,1.654e-33,,1.654e-33,
661.81,3.045e-33,,3.045e-33,
661.86,5.544e-33,,5.544e-33,
661.91,9.978e-33,,9.978e-33,
661.96,1.776e-32,,1.776e-32,
662.01,3.124e-32,,3.124e-32,
662.06,5.436e-32,,5.436e-32,
662.11,9.351e-32,,9.351e-32,
662.16,1.590e-31,,1.590e-31,
662.21,2.674e-31,,2.674e-31,
662.26,4.447e-31,,4.447e-31,
662.31,7.311e-31,,7.311e-31,
662.36,1.188e-30,,1.188e-30,
662.41,1.910e-30,,1.910e-30,
662.46,3.035e-30,,3.035e-30,
662.51,4.768e-30,,4.768e-30,
662.56,7.408e-30,,7.408e-30,
662.61,1.138e-29,,1.138e-29,
662.66,1.728e-29,,1.728e-29,
662.71,2.595e-29,,2.595e-29,
662.76,3.853e-29,,3.853e-29,
662.81,5.656e-29,,5.656e-29,
662.86,8.209e-29,,8.209e-29,
662.91,1.178e-28,,1.178e-28,
662.96,1.672e-28,,1.672e-28,
663.01,2.345e-28,,2.345e-28,
663.06,3.253e-28,,3.253e-28,
663.11,4.462e-28,,4.462e-28,
663.16,6.051e-28,,6.051e-28,
663.21,8.113e-28,,8.113e-28,
663.26,1.076e-27,,1.076e-27,
663.31,1.410e-27,,1.410e-27,
663.36,1.827e-27,,1.827e-27,
663.41,2.342e-27,,2.342e-27,
663.46,2.967e-27,,2.967e-27,
663.51,3.717e-27,,3.717e-27,
663.56,4.604e-27,,4.604e-27,
663.61,5.638e-27,,5.638e-27,
663.66,6.828e-27,,6.828e-27,
663.71,8.175e-27,,8.175e-27,
663.76,9.677e-27,,9.677e-27,
663.82,1.167e-26,,1.167e-26,
663.87,1.348e-26,,1.348e-26,
663.92,1.539e-26,,1.539e-26,
663.97,1.737e-26,,1.737e-26,
664.02,1.939e-26,,1.939e-26,
664.07,2.139e-26,,2.139e-26,
664.12,2.334e-26,,2.334e-26,
664.17,2.518e-26,,2.518e-26,
664.22,2.686e-26,,2.686e-26,
664.27,2.833e-26,,2.833e-26,
664.32,2.954e-26,,2.954e-26,
664.37,3.046e-26,,3.046e-26,
664.42,3.105e-26,,3.105e-26,
664.47,3.130e-26,,3.130e-26,
664.52,3.119e-26,,3.119e-26,
664.57,3.074e-26,,3.074e-26,
664.62,2.995e-26,,2.995e-26,
664.67,2.885e-26,,2.885e-26,
664.72,2.748e-26,,2.748e-26,
664.77,2.588e-26,,2.588e-26,
664.82,2.410e-26,,2.410e-26,
664.87,2.218e-26,,2.218e-26,
664.92,2.019e-26,,2.019e-26,
664.97,1.818e-26,,1.818e-26,
665.02,1.617e-26,,1.617e-26,
665.07,1.423e-26,,1.423e-26,
665.12,1.238e-26,,1.238e-26,
665.17,1.065e-26,,1.065e-26,
665.22,9.058e-27,,9.058e-27,
665.27,7.617e-27,,7.617e-27,
665.32,6.333e-27,,6.333e-27,
665.37,5.206e-27,,5.206e-27,
665.42,4.232e-27,,4.232e-27,
665.47,3.401e-27,,3.401e-27,
665.52,2.703e-27,,2.703e-27,
665.57,2.123e-27,,2.123e-27,
665.62,1.650e-27,,1.650e-27,
665.67,1.267e-27,,1.267e-27,
665.72,9.622e-28,,9.622e-28,
665.77,7.225e-28,,7.225e-28,
665.82,5.364e-28,,5.364e-28,
665.87,3.938e-28,,3.938e-28,
665.92,2.858e-28,,2.858e-28,
665.97,2.051e-28,,2.051e-28,
