Wavelength (nm),Sum,Al I (6.4e-02),Al II (4.4e-01),Al III (1.3e-05),Cr I (4.5e-02),Cr II (4.6e-01)
228.17,3.754e-5,3.754e-5,,,,
228.22,3.104e-6,3.104e-6,,,,
228.27,2.329e-7,2.329e-7,,,,
228.57,1.883e-20,,,1.883e-20,,
228.62,2.397e-19,,,2.397e-19,,
228.67,2.776e-18,,,2.776e-18,,
228.72,2.925e-17,,,2.925e-17,,
228.77,2.803e-16,,,2.803e-16,,
228.82,2.444e-15,,,2.444e-15,,
228.87,1.939e-14,,,1.939e-14,,
228.92,1.400e-13,,,1.400e-13,,
228.97,9.189e-13,,,9.189e-13,,
229.02,5.489e-12,,,5.489e-12,,
229.07,2.983e-11,,,2.983e-11,,
229.12,1.475e-10,,,1.475e-10,,
229.17,6.634e-10,,,6.634e-10,,
