Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
223.77,3.456e-32,,,3.456e-32
223.82,4.697e-32,,,4.697e-32
223.87,5.788e-32,,,5.788e-32
223.92,6.458e-32,,,6.458e-32
223.97,6.523e-32,,,6.523e-32
224.02,5.967e-32,,,5.967e-32
224.07,4.949e-32,,,4.949e-32
224.12,3.742e-32,,,3.742e-32
224.17,2.639e-32,,,2.639e-32
224.22,1.880e-32,,,1.880e-32
224.27,1.650e-32,,,1.650e-32
224.32,2.103e-32,,,2.103e-32
224.37,3.382e-32,,,3.382e-32
224.42,5.575e-32,,,5.575e-32
224.47,8.612e-32,,,8.612e-32
224.52,1.215e-31,,,1.215e-31
224.57,1.556e-31,,,1.556e-31
224.62,1.807e-31,,,1.807e-31
224.67,1.903e-31,,,1.903e-31
224.72,1.823e-31,,,1.823e-31
224.77,1.597e-31,,,1.597e-31
224.82,1.298e-31,,,1.298e-31
224.87,1.012e-31,,,1.012e-31
224.92,8.042e-32,,,8.042e-32
224.97,7.004e-32,,,7.004e-32
225.02,6.856e-32,,,6.856e-32
225.07,7.171e-32,,,7.171e-32
225.12,7.448e-32,,,7.448e-32
225.17,7.310e-32,,,7.310e-32
225.22,6.613e-32,,,6.613e-32
225.27,5.459e-32,,,5.459e-32
225.32,4.094e-32,,,4.094e-32
225.37,2.785e-32,,,2.785e-32
225.42,1.717e-32,,,1.717e-32
225.47,9.594e-33,,,9.594e-33
225.52,4.858e-33,,,4.858e-33
225.57,2.228e-33,,,2.228e-33
225.62,9.263e-34,,,9.263e-34
225.67,3.489e-34,,,3.489e-34
225.72,1.190e-34,,,1.190e-34
225.77,3.681e-35,,,3.681e-35
225.82,1.031e-35,,,1.031e-35
225.87,2.618e-36,,,2.618e-36
225.92,6.021e-37,,,6.021e-37
225.97,1.255e-37,,,1.255e-37
226.02,2.369e-38,,,2.369e-38
226.07,4.053e-39,,,4.053e-39
226.12,6.283e-40,,,6.283e-40
226.17,8.825e-41,,,8.825e-41
226.22,1.123e-41,,,1.123e-41
226.27,1.295e-42,,,1.295e-42
226.32,1.353e-43,,,1.353e-43
226.37,1.281e-44,,,1.281e-44
226.42,1.099e-45,,,1.099e-45
226.47,9.024e-47,,,9.024e-47
