Wavelength (nm),Sum,Ca I (3.8e-02),Ca II (9.5e-01),Ca III (1.3e-02)
506.06,2.482e+1,2.482e+1,,1.270e-12
506.11,1.164e+1,1.164e+1,,1.345e-12
506.16,5.351e+0,5.351e+0,,1.427e-12
506.21,2.412e+0,2.412e+0,,1.504e-12
506.26,1.066e+0,1.066e+0,,1.567e-12
506.31,4.622e-1,4.622e-1,,1.609e-12
506.36,1.964e-1,1.964e-1,,1.624e-12
506.41,8.185e-2,8.185e-2,,1.611e-12
506.46,3.344e-2,3.344e-2,,1.569e-12
506.51,1.340e-2,1.340e-2,,1.499e-12
506.56,5.263e-3,5.263e-3,,1.404e-12
506.61,2.027e-3,2.027e-3,,1.291e-12
