Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
334.71,5.345e-28,,5.345e-28,
334.76,9.063e-29,,9.063e-29,
340.66,9.974e-29,9.974e-29,,
340.71,5.736e-28,5.736e-28,,
340.76,3.162e-27,3.162e-27,,
340.81,1.670e-26,1.670e-26,,
340.86,8.453e-26,8.453e-26,,
340.91,4.100e-25,4.100e-25,,
340.96,1.906e-24,1.906e-24,,
341.01,8.492e-24,8.492e-24,,
341.06,3.626e-23,3.626e-23,,
341.11,1.483e-22,1.483e-22,,
341.16,5.816e-22,5.816e-22,,
341.21,2.185e-21,2.185e-21,,
341.26,7.870e-21,7.870e-21,,
341.31,2.716e-20,2.716e-20,,
341.36,8.981e-20,8.981e-20,,
341.41,2.846e-19,2.846e-19,,
341.46,8.645e-19,8.645e-19,,
341.51,2.516e-18,2.516e-18,,
341.56,7.019e-18,7.019e-18,,
341.61,1.876e-17,1.876e-17,,
341.66,4.806e-17,4.806e-17,,
341.71,1.180e-16,1.180e-16,,
341.76,2.776e-16,2.776e-16,,
341.81,6.259e-16,6.259e-16,,
341.86,1.352e-15,1.352e-15,,
341.91,2.800e-15,2.800e-15,,
341.96,5.557e-15,5.557e-15,,
342.01,1.057e-14,1.057e-14,,
342.06,1.926e-14,1.926e-14,,
342.11,3.363e-14,3.363e-14,,
342.16,5.629e-14,5.629e-14,,
342.21,9.029e-14,9.029e-14,,
342.26,1.388e-13,1.388e-13,,
342.31,2.044e-13,2.044e-13,,
342.36,2.886e-13,2.886e-13,,
342.41,3.904e-13,3.904e-13,,
342.46,5.062e-13,5.062e-13,,
342.51,6.289e-13,6.289e-13,,
342.56,7.488e-13,7.488e-13,,
342.61,8.544e-13,8.544e-13,,
342.66,9.343e-13,9.343e-13,,
342.71,9.791e-13,9.791e-13,,
342.76,9.833e-13,9.833e-13,,
342.81,9.463e-13,9.463e-13,,
342.86,8.728e-13,8.728e-13,,
342.91,7.714e-13,7.714e-13,,
342.96,6.534e-13,6.534e-13,,
343.01,5.304e-13,5.304e-13,,
343.06,4.126e-13,4.126e-13,,
343.11,3.076e-13,3.076e-13,,
343.16,2.198e-13,2.198e-13,,
343.21,1.505e-13,1.505e-13,,
343.26,9.873e-14,9.873e-14,,
343.31,6.208e-14,6.208e-14,,
343.36,3.741e-14,3.741e-14,,
343.41,2.160e-14,2.160e-14,,
343.46,1.196e-14,1.196e-14,,
343.51,6.340e-15,6.340e-15,,
343.56,3.223e-15,3.223e-15,,
343.61,1.570e-15,1.570e-15,,
343.66,7.327e-16,7.327e-16,,
343.71,3.277e-16,3.277e-16,,
343.76,1.405e-16,1.405e-16,,
343.81,5.772e-17,5.772e-17,,
343.86,2.272e-17,2.272e-17,,
343.91,8.573e-18,8.573e-18,,
343.96,3.100e-18,3.100e-18,,
344.01,1.074e-18,1.074e-18,,
344.06,3.567e-19,3.567e-19,,
344.11,1.135e-19,1.135e-19,,
344.16,3.461e-20,3.461e-20,,
344.21,1.012e-20,1.012e-20,,
344.26,2.833e-21,2.833e-21,,
344.31,7.605e-22,7.605e-22,,
344.36,1.956e-22,1.956e-22,,
344.41,4.822e-23,4.822e-23,,
344.46,1.139e-23,1.139e-23,,
344.51,2.579e-24,2.579e-24,,
344.56,5.595e-25,5.595e-25,,
344.61,1.163e-25,1.163e-25,,
344.66,2.318e-26,2.318e-26,,
344.71,4.425e-27,4.425e-27,,
344.76,8.098e-28,8.098e-28,,
344.81,1.420e-28,1.420e-28,,
346.81,5.738e-28,5.738e-28,,
346.86,3.104e-27,3.104e-27,,
346.91,1.612e-26,1.612e-26,,
346.96,8.032e-26,8.032e-26,,
347.01,3.841e-25,3.841e-25,,
347.06,1.763e-24,1.763e-24,,
347.11,7.768e-24,7.768e-24,,
347.16,3.285e-23,3.285e-23,,
347.21,1.333e-22,1.333e-22,,
347.26,5.191e-22,5.191e-22,,
347.31,1.941e-21,1.941e-21,,
347.36,6.962e-21,6.962e-21,,
347.41,2.397e-20,2.397e-20,,
347.46,7.922e-20,7.922e-20,,
347.51,2.512e-19,2.512e-19,,
347.56,7.648e-19,7.648e-19,,
347.61,2.234e-18,2.234e-18,,
347.66,6.265e-18,6.265e-18,,
347.71,1.686e-17,1.686e-17,,
347.76,4.354e-17,4.354e-17,,
347.81,1.079e-16,1.079e-16,,
347.86,2.568e-16,2.568e-16,,
347.91,5.864e-16,5.864e-16,,
347.96,1.285e-15,1.285e-15,,
348.01,2.703e-15,2.703e-15,,
348.06,5.455e-15,5.455e-15,,
348.11,1.057e-14,1.057e-14,,
348.16,1.965e-14,1.965e-14,,
348.21,3.507e-14,3.507e-14,,
348.26,6.007e-14,6.007e-14,,
348.31,9.874e-14,9.874e-14,,
348.36,1.558e-13,1.558e-13,,
348.41,2.359e-13,2.359e-13,,
348.46,3.428e-13,3.428e-13,,
348.51,4.781e-13,4.781e-13,,
348.56,6.400e-13,6.400e-13,,
348.61,8.223e-13,8.223e-13,,
