Wavelength (nm),Sum,K I (3.1e-02),K II (9.7e-01),K III (2.7e-11)
626.65,1.651e-4,,1.651e-4,
626.7,9.826e-5,,9.826e-5,
626.75,5.773e-5,,5.773e-5,
626.8,3.349e-5,,3.349e-5,
626.85,1.918e-5,,1.918e-5,
626.9,1.084e-5,,1.084e-5,
626.95,6.053e-6,,6.053e-6,
627,3.336e-6,,3.336e-6,
627.05,1.815e-6,,1.815e-6,
627.1,9.748e-7,,9.748e-7,
627.15,5.170e-7,,5.170e-7,
627.2,2.707e-7,,2.707e-7,
627.25,1.399e-7,,1.399e-7,
627.3,7.139e-8,,7.139e-8,
627.35,3.597e-8,,3.597e-8,
627.4,1.790e-8,,1.790e-8,
627.45,8.808e-9,,8.808e-9,
627.5,4.310e-9,,4.310e-9,
627.55,2.153e-9,,2.153e-9,
627.6,1.217e-9,,1.217e-9,
627.65,1.002e-9,,1.002e-9,
627.7,1.398e-9,,1.398e-9,
627.75,2.629e-9,,2.629e-9,
627.8,5.371e-9,,5.371e-9,
627.85,1.108e-8,,1.108e-8,
627.9,2.268e-8,,2.268e-8,
627.95,4.588e-8,,4.588e-8,
628,9.171e-8,,9.171e-8,
628.05,1.810e-7,,1.810e-7,
628.1,3.528e-7,,3.528e-7,
628.15,6.791e-7,,6.791e-7,
628.2,1.291e-6,,1.291e-6,
628.25,2.423e-6,,2.423e-6,
628.3,4.491e-6,,4.491e-6,
628.35,8.220e-6,,8.220e-6,
628.4,1.486e-5,,1.486e-5,
628.45,2.652e-5,,2.652e-5,
628.5,4.675e-5,,4.675e-5,
628.55,8.138e-5,,8.138e-5,
628.6,1.399e-4,,1.399e-4,
628.65,2.374e-4,,2.374e-4,
628.7,3.980e-4,,3.980e-4,
628.75,6.589e-4,,6.589e-4,
628.8,1.077e-3,,1.077e-3,
628.85,1.739e-3,,1.739e-3,
628.9,2.771e-3,,2.771e-3,
628.95,4.363e-3,,4.363e-3,
629,6.782e-3,,6.782e-3,
629.05,1.041e-2,,1.041e-2,
629.1,1.578e-2,,1.578e-2,
629.15,2.362e-2,,2.362e-2,
629.2,3.492e-2,,3.492e-2,
629.25,5.098e-2,,5.098e-2,
629.3,7.349e-2,,7.349e-2,
629.35,1.046e-1,,1.046e-1,
629.4,1.471e-1,,1.471e-1,
629.45,2.042e-1,,2.042e-1,
629.5,2.799e-1,,2.799e-1,
629.55,3.790e-1,,3.790e-1,
629.6,5.066e-1,,5.066e-1,
629.65,6.688e-1,,6.688e-1,
629.7,8.719e-1,,8.719e-1,
629.75,1.123e+0,,1.123e+0,
629.8,1.427e+0,,1.427e+0,
629.85,1.792e+0,,1.792e+0,
629.9,2.221e+0,,2.221e+0,
629.95,2.719e+0,,2.719e+0,
630,3.288e+0,,3.288e+0,
630.05,3.925e+0,,3.925e+0,
630.1,4.628e+0,,4.628e+0,
630.15,5.388e+0,,5.388e+0,
630.2,6.194e+0,,6.194e+0,
630.25,7.033e+0,,7.033e+0,
630.3,7.885e+0,,7.885e+0,
630.35,8.730e+0,,8.730e+0,
630.4,9.545e+0,,9.545e+0,
630.45,1.031e+1,,1.031e+1,
630.5,1.099e+1,,1.099e+1,
630.55,1.157e+1,,1.157e+1,
630.6,1.203e+1,,1.203e+1,
630.65,1.235e+1,,1.235e+1,
630.7,1.252e+1,,1.252e+1,
630.75,1.254e+1,,1.254e+1,
630.8,1.240e+1,,1.240e+1,
630.85,1.210e+1,,1.210e+1,
630.9,1.167e+1,,1.167e+1,
630.95,1.111e+1,,1.111e+1,
631,1.045e+1,,1.045e+1,
631.05,9.702e+0,,9.702e+0,
631.1,8.896e+0,,8.896e+0,
631.15,8.055e+0,,8.055e+0,
631.2,7.203e+0,,7.203e+0,
631.25,6.360e+0,,6.360e+0,
631.3,5.546e+0,,5.546e+0,
631.35,4.775e+0,,4.775e+0,
631.4,4.061e+0,,4.061e+0,
631.45,3.410e+0,,3.410e+0,
631.5,2.827e+0,,2.827e+0,
631.55,2.315e+0,,2.315e+0,
631.6,1.872e+0,,1.872e+0,
631.65,1.495e+0,,1.495e+0,
631.7,1.179e+0,,1.179e+0,
631.75,9.180e-1,,9.180e-1,
631.8,7.060e-1,,7.060e-1,
631.85,5.361e-1,,5.361e-1,
631.9,4.020e-1,,4.020e-1,
631.95,2.977e-1,,2.977e-1,
632,2.177e-1,,2.177e-1,
632.05,1.572e-1,,1.572e-1,
632.1,1.121e-1,,1.121e-1,
632.15,7.895e-2,,7.895e-2,
632.2,5.491e-2,,5.491e-2,
632.25,3.771e-2,,3.771e-2,
632.3,2.557e-2,,2.557e-2,
632.35,1.712e-2,,1.712e-2,
