Wavelength (nm),Sum,Al I (1.3e-01),Al II (8.7e-01),Al III (2.5e-05)
232.93,1.088e+4,,1.088e+4,
232.98,5.792e+3,,5.792e+3,
233.03,2.842e+3,,2.842e+3,
233.08,1.282e+3,,1.282e+3,
233.13,5.315e+2,,5.315e+2,
233.18,2.021e+2,,2.021e+2,
233.23,7.043e+1,,7.043e+1,
233.28,2.248e+1,,2.248e+1,
233.33,6.564e+0,,6.564e+0,
233.38,1.753e+0,,1.753e+0,
233.43,4.280e-1,,4.280e-1,
233.48,9.549e-2,,9.549e-2,
233.53,1.946e-2,,1.946e-2,
233.58,3.620e-3,,3.620e-3,
233.63,6.150e-4,,6.150e-4,
233.68,9.535e-5,,9.535e-5,
233.73,1.349e-5,,1.349e-5,
233.78,1.742e-6,,1.742e-6,
233.83,2.051e-7,,2.051e-7,
233.88,2.204e-8,,2.204e-8,
233.93,2.160e-9,,2.160e-9,
233.98,1.915e-10,,1.915e-10,
234.03,1.564e-11,,1.564e-11,
235.28,1.795e-7,1.795e-7,,
235.33,2.204e-6,2.204e-6,,
235.38,2.474e-5,2.474e-5,,
235.43,2.541e-4,2.541e-4,,
235.48,2.386e-3,2.386e-3,,
235.53,2.050e-2,2.050e-2,,
235.58,1.611e-1,1.611e-1,,
235.63,1.157e+0,1.157e+0,,
235.68,7.608e+0,7.608e+0,,
235.73,4.573e+1,4.573e+1,,
235.78,2.515e+2,2.515e+2,,
235.83,1.265e+3,1.265e+3,,
235.88,5.817e+3,5.817e+3,,
235.93,2.447e+4,2.447e+4,,
235.98,9.416e+4,9.416e+4,,
236.03,3.314e+5,3.314e+5,,
236.08,1.067e+6,1.067e+6,,
236.13,3.140e+6,3.140e+6,,
236.18,8.456e+6,8.456e+6,,
236.23,2.083e+7,2.083e+7,,
236.28,4.691e+7,4.691e+7,,
236.33,9.666e+7,9.666e+7,,
236.38,1.821e+8,1.821e+8,,
236.43,3.139e+8,3.139e+8,,
236.48,4.948e+8,4.948e+8,,
236.53,7.135e+8,7.135e+8,,
236.58,9.410e+8,9.410e+8,,
236.63,1.136e+9,1.136e+9,,
236.68,1.254e+9,1.254e+9,,
236.73,1.270e+9,1.270e+9,,
236.78,1.184e+9,1.184e+9,,
236.83,1.028e+9,1.028e+9,,
236.88,8.581e+8,8.581e+8,,
236.93,7.370e+8,7.370e+8,,
