Wavelength (nm),Sum,Cr I (8.9e-02),Cr II (9.1e-01)
  261.53,3.98E+06,3.98E+06,
  261.58,6.14E+06,6.14E+06,
  261.63,8.90E+06,8.90E+06,
  261.68,1.22E+07,1.22E+07,
  261.73,1.58E+07,1.58E+07,
  261.78,1.95E+07,1.95E+07,
  261.83,2.32E+07,2.32E+07,
  261.88,2.67E+07,2.67E+07,
  261.93,3.00E+07,3.00E+07,
  261.98,3.32E+07,3.32E+07,
  262.03,3.63E+07,3.63E+07,
  262.08,3.95E+07,3.95E+07,
  262.13,4.26E+07,4.26E+07,
  262.18,4.55E+07,4.55E+07,
  262.23,4.79E+07,4.79E+07,
  262.28,4.96E+07,4.96E+07,
  262.33,5.05E+07,5.05E+07,
  262.38,5.06E+07,5.06E+07,
  262.44,4.99E+07,4.99E+07,
  262.49,4.86E+07,4.86E+07,
  262.54,4.67E+07,4.67E+07,
  262.59,4.41E+07,4.41E+07,
  262.64,4.10E+07,4.10E+07,
  262.69,3.74E+07,3.74E+07,
  262.74,3.36E+07,3.36E+07,
  262.79,3.00E+07,3.00E+07,
  262.84,2.67E+07,2.67E+07,
  262.89,2.38E+07,2.38E+07,
  262.94,2.12E+07,2.12E+07,
  262.99,1.87E+07,1.87E+07,
  263.04,1.61E+07,1.61E+07,
  263.09,1.33E+07,1.33E+07,
  263.14,1.05E+07,1.05E+07,
  263.19,7.84E+06,7.84E+06,
  263.24,5.49E+06,5.49E+06,
  263.29,3.60E+06,3.60E+06,
  263.34,2.20E+06,2.20E+06,
  263.39,1.26E+06,1.26E+06,
  263.44,6.68E+05,6.68E+05,
  263.49,3.31E+05,3.31E+05,
  263.54,1.53E+05,1.53E+05,
  263.59,6.54E+04,6.54E+04,
  263.64,2.61E+04,2.61E+04,
  263.69,9.69E+03,9.69E+03,
  263.74,3.35E+03,3.35E+03,4.19E-08
  263.79,1.08E+03,1.08E+03,4.03E-07
  263.84,3.22E+02,3.22E+02,3.62E-06
  263.89,8.95E+01,8.95E+01,3.02E-05
  263.94,2.32E+01,2.32E+01,2.35E-04
  263.99,5.58E+00,5.57E+00,1.71E-03
  264.04,1.26E+00,1.25E+00,1.15E-02
  264.09,3.32E-01,2.60E-01,7.25E-02
  264.14,4.75E-01,5.04E-02,4.25E-01
  264.19,2.33E+00,9.08E-03,2.32E+00
  264.24,1.18E+01,1.52E-03,1.18E+01
  264.29,5.58E+01,2.37E-04,5.58E+01
  264.34,2.46E+02,3.45E-05,2.46E+02
  264.39,1.01E+03,4.65E-06,1.01E+03
  264.44,3.87E+03,5.84E-07,3.87E+03
  264.49,1.38E+04,6.82E-08,1.38E+04
  264.54,4.58E+04,7.41E-09,4.58E+04
  264.59,1.42E+05,7.49E-10,1.42E+05
  264.64,4.08E+05,,4.08E+05
  264.69,1.10E+06,,1.10E+06
  264.74,2.74E+06,,2.74E+06
  264.79,6.37E+06,,6.37E+06
  264.84,1.38E+07,,1.38E+07
  264.89,2.79E+07,,2.79E+07
  264.94,5.25E+07,,5.25E+07
  264.99,9.20E+07,,9.20E+07
  265.04,1.50E+08,,1.50E+08
  265.09,2.28E+08,,2.28E+08
  265.14,3.24E+08,,3.24E+08
  265.19,4.28E+08,,4.28E+08
  265.24,5.27E+08,,5.27E+08
  265.29,6.07E+08,,6.07E+08
  265.34,6.55E+08,2.82E-09,6.55E+08
  265.39,6.66E+08,2.57E-08,6.66E+08
  265.44,6.47E+08,2.19E-07,6.47E+08
  265.49,6.10E+08,1.73E-06,6.10E+08
  265.54,5.75E+08,1.28E-05,5.75E+08
  265.59,5.61E+08,8.81E-05,5.61E+08
  265.64,5.75E+08,5.66E-04,5.75E+08
  265.69,6.17E+08,3.39E-03,6.17E+08
  265.74,6.72E+08,1.89E-02,6.72E+08
  265.79,7.20E+08,9.83E-02,7.20E+08
  265.84,7.43E+08,4.77E-01,7.43E+08
  265.89,7.26E+08,2.16E+00,7.26E+08
  265.94,6.68E+08,9.09E+00,6.68E+08
  265.99,5.79E+08,3.57E+01,5.79E+08
  266.04,4.75E+08,1.31E+02,4.75E+08
  266.09,3.79E+08,4.47E+02,3.79E+08
  266.14,3.12E+08,1.42E+03,3.12E+08
  266.19,2.92E+08,4.23E+03,2.92E+08
  266.24,3.30E+08,1.17E+04,3.30E+08
  266.29,4.34E+08,3.02E+04,4.34E+08
  266.34,6.03E+08,7.29E+04,6.03E+08
  266.39,8.25E+08,1.64E+05,8.25E+08
  266.44,1.08E+09,3.44E+05,1.08E+09
  266.49,1.34E+09,6.75E+05,1.34E+09
  266.54,1.57E+09,1.24E+06,1.57E+09
  266.59,1.75E+09,2.13E+06,1.74E+09
  266.64,1.86E+09,3.44E+06,1.85E+09
  266.69,1.90E+09,5.22E+06,1.89E+09
  266.74,1.89E+09,7.48E+06,1.88E+09
  266.79,1.86E+09,1.02E+07,1.85E+09
  266.84,1.83E+09,1.32E+07,1.82E+09
  266.89,1.83E+09,1.65E+07,1.81E+09
  266.94,1.87E+09,1.98E+07,1.85E+09
  266.99,1.96E+09,2.33E+07,1.93E+09
  267.04,2.09E+09,2.66E+07,2.06E+09
  267.09,2.22E+09,2.97E+07,2.19E+09
  267.14,2.33E+09,3.24E+07,2.30E+09
  267.19,2.37E+09,3.43E+07,2.34E+09
  267.24,2.31E+09,3.51E+07,2.28E+09
  267.29,2.15E+09,3.47E+07,2.11E+09
  267.34,1.88E+09,3.32E+07,1.85E+09
  267.39,1.56E+09,3.08E+07,1.53E+09
  267.44,1.21E+09,2.81E+07,1.18E+09
  267.49,8.88E+08,2.57E+07,8.62E+08
  267.54,6.13E+08,2.43E+07,5.89E+08
  267.59,4.01E+08,2.43E+07,3.77E+08
  267.64,2.52E+08,2.58E+07,2.26E+08
  267.69,1.55E+08,2.83E+07,1.27E+08
  267.74,9.81E+07,3.14E+07,6.68E+07
  267.79,6.70E+07,3.42E+07,3.28E+07
  267.84,5.12E+07,3.61E+07,1.51E+07
  267.89,4.30E+07,3.65E+07,6.50E+06
  267.94,3.79E+07,3.53E+07,2.62E+06
