Wavelength (nm),Sum,Pb I (1.4e-01),Pb II (8.6e-01)
219.62,1.269e+5,,1.269e+5
219.67,5.422e+5,,5.422e+5
219.72,2.089e+6,,2.089e+6
219.77,7.263e+6,,7.263e+6
219.82,2.278e+7,,2.278e+7
219.87,6.445e+7,,6.445e+7
219.92,1.645e+8,,1.645e+8
219.97,3.788e+8,,3.788e+8
220.02,7.869e+8,,7.869e+8
220.07,1.475e+9,,1.475e+9
220.12,2.494e+9,,2.494e+9
220.17,3.803e+9,,3.803e+9
220.22,5.234e+9,,5.234e+9
220.27,6.497e+9,,6.497e+9
220.32,7.276e+9,,7.276e+9
220.37,7.352e+9,,7.352e+9
220.42,6.701e+9,,6.701e+9
220.47,5.510e+9,,5.510e+9
220.52,4.088e+9,,4.088e+9
220.57,2.736e+9,,2.736e+9
220.62,1.652e+9,,1.652e+9
220.67,8.996e+8,,8.996e+8
220.72,4.421e+8,,4.421e+8
220.77,1.960e+8,,1.960e+8
220.82,7.837e+7,,7.837e+7
220.87,2.828e+7,,2.828e+7
220.92,9.204e+6,,9.204e+6
220.97,2.703e+6,,2.703e+6
221.02,7.159e+5,,7.159e+5
221.07,1.711e+5,,1.711e+5
221.12,3.689e+4,,3.689e+4
221.17,7.175e+3,,7.175e+3
221.22,1.259e+3,,1.259e+3
221.27,1.993e+2,,1.993e+2
221.32,2.846e+1,,2.846e+1
221.37,3.667e+0,,3.667e+0
221.42,4.263e-1,,4.263e-1
221.47,4.470e-2,,4.470e-2
221.52,4.228e-3,,4.228e-3
221.57,3.608e-4,,3.608e-4
221.62,2.778e-5,,2.778e-5
221.67,1.930e-6,,1.930e-6
238.73,1.999e-8,1.999e-8,
238.78,2.404e-7,2.404e-7,
238.83,2.652e-6,2.652e-6,
238.88,2.682e-5,2.682e-5,
238.93,2.488e-4,2.488e-4,
238.98,2.116e-3,2.116e-3,
239.03,1.650e-2,1.650e-2,
239.08,1.180e-1,1.180e-1,
239.13,7.738e-1,7.738e-1,
239.18,4.653e+0,4.653e+0,
239.23,2.566e+1,2.566e+1,
239.28,1.297e+2,1.297e+2,
239.33,6.015e+2,6.015e+2,
239.38,2.557e+3,2.557e+3,
239.43,9.971e+3,9.971e+3,
239.48,3.565e+4,3.565e+4,
239.53,1.169e+5,1.169e+5,
239.58,3.513e+5,3.513e+5,
239.63,9.683e+5,9.683e+5,
239.68,2.448e+6,2.448e+6,
239.73,5.674e+6,5.674e+6,
239.78,1.206e+7,1.206e+7,
239.83,2.350e+7,2.350e+7,
239.88,4.200e+7,4.200e+7,
239.93,6.884e+7,6.884e+7,
239.98,1.035e+8,1.035e+8,
240.03,1.426e+8,1.426e+8,
240.08,1.801e+8,1.801e+8,
240.13,2.087e+8,2.087e+8,
240.18,2.218e+8,2.218e+8,
240.23,2.161e+8,2.161e+8,
240.28,1.931e+8,1.931e+8,
240.33,1.582e+8,1.582e+8,
240.38,1.188e+8,1.188e+8,
240.43,8.187e+7,8.187e+7,
240.48,5.172e+7,5.172e+7,
240.53,2.996e+7,2.996e+7,
240.58,1.591e+7,1.591e+7,
240.63,7.751e+6,7.751e+6,
240.68,3.462e+6,3.462e+6,
240.73,1.418e+6,1.418e+6,
240.78,5.325e+5,5.325e+5,
240.83,1.834e+5,1.834e+5,
240.88,5.791e+4,5.791e+4,
240.93,1.677e+4,1.677e+4,
240.98,4.453e+3,4.453e+3,
241.03,1.084e+3,1.084e+3,
241.08,2.421e+2,2.421e+2,
241.13,4.958e+1,4.958e+1,
241.18,9.308e+0,9.308e+0,
241.23,1.602e+0,1.602e+0,
241.28,2.530e-1,2.530e-1,
241.33,3.662e-2,3.662e-2,
241.38,4.862e-3,4.862e-3,
241.43,5.918e-4,5.918e-4,
241.48,6.606e-5,6.606e-5,
241.53,6.761e-6,6.761e-6,
241.58,6.346e-7,6.346e-7,
241.63,5.462e-8,5.462e-8,
243.13,1.426e-8,1.426e-8,
243.18,1.650e-7,1.650e-7,
243.23,1.756e-6,1.756e-6,
243.28,1.718e-5,1.718e-5,
243.33,1.547e-4,1.547e-4,
243.38,1.281e-3,1.281e-3,
243.43,9.760e-3,9.760e-3,
243.48,6.839e-2,6.839e-2,
243.53,4.408e-1,4.408e-1,
243.58,2.613e+0,2.613e+0,
243.63,1.425e+1,1.425e+1,
243.68,7.149e+1,7.149e+1,
