Wavelength (nm),Sum,Cu I (2.9e-01),Cu II (7.1e-01)
219.87,7.624e+1,,7.624e+1
219.92,5.221e+1,,5.221e+1
219.97,4.631e+1,,4.631e+1
220.02,4.537e+1,,4.537e+1
220.07,4.362e+1,,4.362e+1
220.12,3.904e+1,,3.904e+1
220.17,3.188e+1,,3.188e+1
220.22,2.361e+1,,2.361e+1
220.27,1.594e+1,,1.594e+1
220.32,1.040e+1,,1.040e+1
220.37,8.866e+0,,8.866e+0
220.42,1.612e+1,,1.612e+1
220.47,4.607e+1,,4.607e+1
220.52,1.347e+2,,1.347e+2
220.57,3.622e+2,,3.622e+2
220.62,8.814e+2,,8.814e+2
220.67,1.937e+3,,1.937e+3
220.72,3.843e+3,,3.843e+3
220.77,6.883e+3,,6.883e+3
220.82,1.113e+4,,1.113e+4
220.87,1.625e+4,,1.625e+4
220.92,2.141e+4,,2.141e+4
220.97,2.547e+4,,2.547e+4
221.02,2.736e+4,,2.736e+4
221.07,2.653e+4,,2.653e+4
221.12,2.324e+4,,2.324e+4
221.17,1.839e+4,,1.839e+4
221.22,1.318e+4,2.508e-12,1.318e+4
221.27,8.658e+3,3.639e-11,8.658e+3
221.32,5.463e+3,4.773e-10,5.463e+3
221.37,3.908e+3,5.659e-9,3.908e+3
221.42,4.198e+3,6.066e-8,4.198e+3
221.47,6.643e+3,5.877e-7,6.643e+3
221.52,1.168e+4,5.148e-6,1.168e+4
221.57,1.963e+4,4.076e-5,1.963e+4
221.62,3.020e+4,2.918e-4,3.020e+4
221.67,4.215e+4,1.888e-3,4.215e+4
221.72,5.319e+4,1.104e-2,5.319e+4
221.77,6.068e+4,5.839e-2,6.068e+4
221.82,6.254e+4,2.791e-1,6.254e+4
221.87,5.824e+4,1.206e+0,5.824e+4
221.92,4.901e+4,4.712e+0,4.900e+4
221.97,3.726e+4,1.664e+1,3.724e+4
222.02,2.563e+4,5.311e+1,2.557e+4
222.07,1.602e+4,1.533e+2,1.586e+4
222.12,9.292e+3,3.999e+2,8.892e+3
222.17,5.448e+3,9.430e+2,4.505e+3
222.22,4.079e+3,2.010e+3,2.069e+3
222.27,4.748e+3,3.874e+3,8.733e+2
222.32,7.119e+3,6.750e+3,3.688e+2
222.37,1.086e+4,1.063e+4,2.269e+2
222.42,1.545e+4,1.513e+4,3.137e+2
222.47,2.012e+4,1.948e+4,6.457e+2
222.52,2.402e+4,2.266e+4,1.355e+3
222.57,2.648e+4,2.384e+4,2.648e+3
222.62,2.740e+4,2.266e+4,4.736e+3
222.67,2.718e+4,1.948e+4,7.700e+3
222.72,2.649e+4,1.513e+4,1.136e+4
222.77,2.581e+4,1.063e+4,1.518e+4
222.82,2.511e+4,6.750e+3,1.836e+4
222.87,2.398e+4,3.874e+3,2.010e+4
222.92,2.193e+4,2.010e+3,1.992e+4
222.97,1.881e+4,9.430e+2,1.787e+4
223.02,1.491e+4,3.999e+2,1.451e+4
223.07,1.082e+4,1.533e+2,1.066e+4
223.12,7.158e+3,5.311e+1,7.105e+3
223.17,4.311e+3,1.664e+1,4.294e+3
223.22,2.363e+3,4.712e+0,2.358e+3
223.27,1.181e+3,1.206e+0,1.180e+3
223.32,5.403e+2,2.791e-1,5.400e+2
223.37,2.274e+2,5.839e-2,2.274e+2
223.42,8.884e+1,1.105e-2,8.883e+1
223.47,3.276e+1,1.912e-3,3.276e+1
223.52,1.253e+1,4.436e-4,1.253e+1
223.57,8.981e+0,9.206e-4,8.980e+0
223.62,2.086e+1,4.622e-3,2.085e+1
223.67,6.716e+1,2.194e-2,6.714e+1
223.72,2.056e+2,9.441e-2,2.055e+2
223.77,5.722e+2,3.678e-1,5.718e+2
223.82,1.443e+3,1.298e+0,1.441e+3
223.87,3.294e+3,4.146e+0,3.290e+3
223.92,6.810e+3,1.199e+1,6.798e+3
223.97,1.275e+4,3.141e+1,1.272e+4
224.02,2.162e+4,7.450e+1,2.155e+4
224.07,3.323e+4,1.600e+2,3.307e+4
