Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (7.5e-2),Fe II (4.1e-1),Fe III (5.6e-5),Ni I (6.1e-2),Ni II (1.9e-1),Ni III (6.3e-6),Cu I (4.4e-3),Cu II (1.1e-2),Mo I (4.3e-3)
203.84,2.234e+2,,,,1.672e+1,2.123e-4,1.381e-19,,,2.996e-20,2.067e+2,
203.86,1.435e+2,,,,2.358e+1,2.076e-4,1.213e-19,,,2.998e-20,1.199e+2,
203.89,1.083e+2,,,,6.230e+1,2.062e-4,9.620e-20,,,3.001e-20,4.602e+1,
203.91,1.404e+2,,,,1.183e+2,2.083e-4,7.945e-20,,,3.004e-20,2.209e+1,
203.94,2.784e+2,,,,2.721e+2,2.144e-4,5.434e-20,,,3.007e-20,6.362e+0,
203.96,4.339e+2,,,,4.313e+2,2.200e-4,3.759e-20,,,3.009e-20,2.521e+0,
203.99,7.463e+2,,,,7.457e+2,2.287e-4,1.247e-20,,,3.013e-20,5.448e-1,
204.01,9.760e+2,,,,9.758e+2,2.323e-4,2.023e-19,,,3.015e-20,1.804e-1,
204.04,1.265e+3,,,,1.265e+3,2.283e-4,1.146e-17,,,3.019e-20,4.848e-2,
204.06,1.366e+3,,,,1.366e+3,2.161e-4,1.536e-16,,,3.021e-20,7.752e-2,
204.09,1.327e+3,,,,1.327e+3,1.821e-4,6.534e-15,,,3.024e-20,4.034e-1,
204.11,1.184e+3,,,,1.182e+3,1.515e-4,7.237e-14,,,3.027e-20,1.176e+0,
204.14,8.664e+2,,,,8.613e+2,1.025e-4,2.312e-12,,,3.030e-20,5.091e+0,
204.16,6.456e+2,,,,6.334e+2,7.305e-5,2.116e-11,,,3.032e-20,1.229e+1,
204.19,3.857e+2,,,,3.458e+2,3.998e-5,5.077e-10,,,3.036e-20,3.990e+1,
204.21,2.894e+2,,,,2.099e+2,2.677e-5,3.839e-9,,,3.038e-20,7.950e+1,
204.23,2.647e+2,,,,1.179e+2,2.073e-5,2.689e-8,,,3.040e-20,1.467e+2,
204.26,3.617e+2,,,,4.302e+1,2.500e-5,4.322e-7,,,3.044e-20,3.187e+2,
204.28,5.057e+2,,,,1.995e+1,3.726e-5,2.502e-6,,,3.046e-20,4.857e+2,
204.31,7.970e+2,,,,5.455e+0,7.166e-5,3.020e-5,,,3.049e-20,7.916e+2,
204.33,9.982e+2,,,,2.087e+0,1.060e-4,1.444e-4,,,3.052e-20,9.961e+2,
204.36,1.218e+3,,,,4.279e-1,1.729e-4,1.309e-3,,,3.055e-20,1.218e+3,
204.38,1.266e+3,,,,1.351e-1,2.240e-4,5.173e-3,,,3.057e-20,1.265e+3,
204.41,1.161e+3,,,,2.076e-2,2.993e-4,3.522e-2,,,3.061e-20,1.161e+3,
204.43,9.962e+2,,,,5.411e-3,3.409e-4,1.150e-1,,,3.063e-20,9.961e+2,
204.46,6.862e+2,,,,6.233e-4,3.780e-4,5.880e-1,,,3.067e-20,6.856e+2,
204.48,4.873e+2,,,,1.341e-4,3.816e-4,1.586e+0,,,3.069e-20,4.857e+2,
204.51,2.570e+2,,,,1.158e-5,3.546e-4,6.092e+0,,,3.072e-20,2.509e+2,
204.53,1.603e+2,,,,2.054e-6,3.189e-4,1.358e+1,,,3.075e-20,1.467e+2,
204.56,9.604e+1,,,,1.338e-7,2.499e-4,3.917e+1,,,3.078e-20,5.687e+1,
204.58,9.962e+1,,,,2.526e-8,2.010e-4,7.214e+1,,,3.080e-20,2.748e+1,
204.61,1.643e+2,,,,1.041e-7,1.340e-4,1.563e+2,,,3.084e-20,8.019e+0,
204.63,2.411e+2,,,,6.404e-7,9.721e-5,2.378e+2,,,3.086e-20,3.246e+0,
