Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.0e-1),Fe III (1.1e-4),Ni I (1.2e-2),Ni II (3.8e-2),Ni III (1.3e-6)
208.31,4.296e+0,,2.914e-1,6.955e-4,4.004e+0,3.156e-18,
208.33,9.782e+0,,9.962e-2,1.049e-3,9.681e+0,3.951e-17,
208.36,3.174e+1,,3.188e-2,1.722e-3,3.171e+1,1.525e-15,
208.38,6.382e+1,,4.252e-2,2.201e-3,6.378e+1,1.590e-14,
208.4,1.193e+2,,8.832e-2,2.624e-3,1.192e+2,1.540e-13,
208.43,2.656e+2,,2.919e-1,2.992e-3,2.653e+2,4.047e-12,
208.45,4.132e+2,,6.554e-1,2.986e-3,4.125e+2,3.264e-11,
208.48,6.990e+2,,2.248e+0,2.605e-3,6.968e+2,6.518e-10,
208.5,9.065e+2,,5.104e+0,2.179e-3,9.014e+2,4.378e-9,
208.53,1.172e+3,,1.665e+1,1.481e-3,1.156e+3,6.642e-8,
208.55,1.278e+3,,3.466e+1,1.082e-3,1.244e+3,3.715e-7,
208.58,1.303e+3,,9.330e+1,6.903e-4,1.210e+3,4.282e-6,
208.6,1.250e+3,,1.664e+2,5.809e-4,1.083e+3,1.994e-5,
208.63,1.147e+3,,3.475e+2,6.036e-4,7.999e+2,1.746e-4,
208.65,1.115e+3,,5.193e+2,6.985e-4,5.959e+2,6.772e-4,
208.68,1.162e+3,,8.281e+2,8.739e-4,3.339e+2,4.507e-3,
208.7,1.239e+3,,1.032e+3,9.680e-4,2.070e+2,1.455e-2,
208.73,1.339e+3,,1.250e+3,1.027e-3,8.800e+1,7.357e-2,
208.75,1.343e+3,,1.297e+3,1.005e-3,4.538e+1,1.978e-1,
208.77,1.272e+3,,1.250e+3,9.444e-4,2.175e+1,4.941e-1,
208.8,1.039e+3,,1.031e+3,8.255e-4,6.284e+0,1.701e+0,
208.82,8.332e+2,,8.272e+2,7.653e-4,2.505e+0,3.538e+0,
208.85,5.277e+2,,5.179e+2,7.808e-4,5.493e-1,9.254e+0,
208.87,3.621e+2,,3.458e+2,9.117e-4,1.822e-1,1.603e+1,
